id,age,gender,income,spending_score,membership_years,purchase_frequency,preferred_category,last_purchase_amount,age_group,customer_category,income_group
1,38,Female,99342,90,3,24,Groceries,113.53,Over-thirties,"Great customer","Upper-Mid Income"
2,21,Female,78852,60,2,42,Sports,41.93,"Young adult","Good customer","Middle Income"
3,60,Female,126573,30,2,28,Clothing,424.36,Seniors,"Medium customer",Affluent
4,40,Other,47099,74,9,5,"Home & Garden",991.93,Over-forties,"Good customer","Lower-Mid Income"
5,65,Female,140621,21,3,25,Electronics,347.08,Seniors,"Bad customer",Affluent
6,31,Other,57305,24,3,30,"Home & Garden",86.85,Over-thirties,"Bad customer","Lower-Mid Income"
7,19,Other,54319,68,5,43,Clothing,191.72,"Young adult","Good customer","Lower-Mid Income"
8,43,Male,108115,94,9,27,Groceries,734.56,Over-forties,"Great customer","Upper-Mid Income"
9,53,Male,34424,29,6,7,Sports,951.71,Over-fifties,"Medium customer","Lower-Mid Income"
10,55,Female,45839,55,7,2,Electronics,821.18,Over-fifties,"Good customer","Lower-Mid Income"
11,23,Other,69659,16,7,24,Clothing,434.97,"Young adult","Bad customer","Middle Income"
12,68,Other,30058,91,1,49,Groceries,889.94,Seniors,"Great customer","Lower-Mid Income"
13,29,Female,87461,81,3,27,"Home & Garden",101.07,"Young adult","Great customer","Middle Income"
14,64,Other,33018,46,4,3,Sports,221.35,Seniors,"Medium customer","Lower-Mid Income"
15,33,Male,112260,17,5,8,"Home & Garden",915.89,Over-thirties,"Bad customer","Upper-Mid Income"
16,53,Male,129284,17,6,26,Clothing,225.4,Over-fifties,"Bad customer",Affluent
17,57,Male,102535,29,5,13,Clothing,378.47,Over-fifties,"Medium customer","Upper-Mid Income"
18,22,Male,41849,22,1,31,Sports,844.08,"Young adult","Bad customer","Lower-Mid Income"
19,37,Male,95491,90,6,21,"Home & Garden",454.83,Over-thirties,"Great customer","Upper-Mid Income"
20,31,Male,97103,70,3,17,Groceries,61.3,Over-thirties,"Good customer","Upper-Mid Income"
21,19,Female,82519,13,4,4,"Home & Garden",742.39,"Young adult","Bad customer","Middle Income"
22,22,Male,49077,74,10,47,"Home & Garden",799.31,"Young adult","Good customer","Lower-Mid Income"
23,36,Other,85473,68,1,16,Sports,806.55,Over-thirties,"Good customer","Middle Income"
24,41,Other,81758,87,7,9,Clothing,482.2,Over-forties,"Great customer","Middle Income"
25,69,Female,36140,78,5,39,Sports,508.86,Seniors,"Great customer","Lower-Mid Income"
26,33,Other,141757,60,10,39,Groceries,83.27,Over-thirties,"Good customer",Affluent
27,54,Male,35394,10,9,4,Groceries,124.29,Over-fifties,"Bad customer","Lower-Mid Income"
28,30,Female,50680,19,7,27,Sports,515.88,Over-thirties,"Bad customer","Lower-Mid Income"
29,18,Female,70721,78,7,1,"Home & Garden",191.9,"Young adult","Great customer","Middle Income"
30,23,Male,104106,30,4,20,Electronics,950.56,"Young adult","Medium customer","Upper-Mid Income"
31,36,Other,76756,16,8,27,Clothing,970.06,Over-thirties,"Bad customer","Middle Income"
32,60,Female,45733,69,2,18,Electronics,197.29,Seniors,"Good customer","Lower-Mid Income"
33,29,Male,71951,2,6,47,Electronics,91.94,"Young adult","Bad customer","Middle Income"
34,44,Other,86593,89,4,37,Groceries,76.95,Over-forties,"Great customer","Middle Income"
35,45,Other,43138,54,10,48,Sports,639.22,Over-forties,"Good customer","Lower-Mid Income"
36,30,Female,73464,37,1,6,Clothing,532.51,Over-thirties,"Medium customer","Middle Income"
37,47,Male,108074,78,4,38,Electronics,128.2,Over-forties,"Great customer","Upper-Mid Income"
38,48,Other,81794,89,7,50,Electronics,967.99,Over-forties,"Great customer","Middle Income"
39,31,Female,75392,43,4,29,Sports,88.44,Over-thirties,"Medium customer","Middle Income"
40,22,Male,107057,14,5,41,"Home & Garden",98.86,"Young adult","Bad customer","Upper-Mid Income"
41,23,Male,70723,31,1,48,"Home & Garden",713.33,"Young adult","Medium customer","Middle Income"
42,52,Male,115529,70,2,34,Clothing,192.66,Over-fifties,"Good customer","Upper-Mid Income"
43,35,Male,72179,6,6,45,"Home & Garden",165.18,Over-thirties,"Bad customer","Middle Income"
44,28,Other,62405,79,5,50,"Home & Garden",956.73,"Young adult","Great customer","Middle Income"
45,50,Male,42404,45,4,31,"Home & Garden",753.6,Over-fifties,"Medium customer","Lower-Mid Income"
46,49,Other,94531,28,5,42,Clothing,214.93,Over-forties,"Medium customer","Upper-Mid Income"
47,56,Male,129005,40,6,8,Electronics,355.34,Over-fifties,"Medium customer",Affluent
48,48,Male,76317,94,9,3,Electronics,189.28,Over-forties,"Great customer","Middle Income"
49,19,Other,85309,65,5,10,Sports,28.55,"Young adult","Good customer","Middle Income"
50,68,Female,146519,96,2,18,Groceries,673.79,Seniors,"Great customer",Affluent
51,61,Female,61290,83,9,35,Clothing,110.32,Seniors,"Great customer","Middle Income"
